site_id,year,month,day,location,salt,temp,salmon_captured,salmon_examined,pink_examined,chum_examined,morts_recovery,morts_other,P_ratio,C_ratio,latitude,longitude,bycatch,notes
1,2001,6,12,Burdwood,,,,18,18,0,,,,,,,,
2,2001,6,13,Wicklow,,,,10,10,0,,,,,,,,
3,2001,6,16,Glacier,,,,77,77,0,,,,,,,,
4,2001,6,23,Burdwood,,,,11,11,0,,,,,,,,
5,2001,6,24,Burdwood,,,,12,12,0,,,,,,,,
6,2001,6,25,Burdwood,,,,5,5,0,,,,,,,,
7,2001,6,26,Glacier,,,,8,8,0,,,,,,,,
8,2001,6,28,Glacier,,11.94,,76,76,0,,,,,,,,
9,2001,6,29,Burdwood,,13.28,,12,12,0,,,,,,,,
10,2001,6,30,Burdwood,,13.28,,3,3,0,,,,,,,,
11,2001,7,13,Burdwood,,,,2,2,0,,,,,,,,
12,2001,7,15,Glacier,,11.94,,1,1,0,,,,,,,,
13,2001,7,16,Burdwood,,,,1,1,0,,,,,,,,
14,2001,7,29,Wicklow,,12.05,,23,23,0,,,,,,,,
15,2001,8,15,Wicklow,,10.28,,7,7,0,,,,,,,,
16,2001,8,16,Wicklow,,10.28,,2,2,0,,,,,,,,
17,2002,4,18,Burdwood,30,9.8,,11,5,6,,,,,,,,
18,2002,4,18,Glacier,31,9.8,,1,0,1,,,,,,,,
19,2002,4,18,Wicklow,32,10,,5,5,0,,,,,,,,
20,2002,4,19,Burdwood,30,9.8,,9,8,1,,,,,,,,
21,2002,4,19,Glacier,31,8.7,,20,20,0,,,,,,,,
22,2002,4,19,Wicklow,30,8.9,,13,12,1,,,,,,,,
23,2002,4,25,Glacier,28,8.7,,20,16,4,,,,,,,,
24,2002,4,26,Burdwood,27,9.4,,22,18,4,,,,,,,,
25,2002,4,26,Wicklow,32,9.1,,21,20,1,,,,,,,,
26,2002,5,1,Glacier,30,10.1,,21,19,2,,,,,,,,
27,2002,5,3,Burdwood,25,11,,22,22,0,,,,,,,,
28,2002,5,3,Wicklow,32,10.4,,19,19,0,,,,,,,,
29,2002,5,7,Burdwood,35,10.7,,20,15,5,,,,,,,,
30,2002,5,7,Glacier,32,10.1,,21,20,1,,,,,,,,
31,2002,5,9,Wicklow,32,10.2,,23,14,9,,,,,,,,
32,2002,5,26,Glacier,31,9.9,,20,18,2,,,,,,,,
33,2002,5,26,Wicklow,31,10.2,,20,19,1,,,,,,,,
34,2002,6,1,Burdwood,23,12.4,,21,20,1,,,,,,,,
35,2002,6,1,Glacier,25,10.9,,21,21,0,,,,,,,,
36,2002,6,2,Wicklow,31,9,,19,19,0,,,,,,,,
37,2002,6,7,Wicklow,32,10.4,,23,19,4,,,,,,,,
38,2002,6,8,Burdwood,26,10.8,,27,13,14,,,,,,,,
39,2002,6,8,Glacier,26,10.8,,20,20,0,,,,,,,,
40,2002,6,9,Wicklow,28,11.2,,22,20,2,,,,,,,,
41,2002,6,15,Burdwood,25,12.7,,17,15,2,,,,,,,,
42,2002,6,15,Glacier,26,12.4,,19,19,0,,,,,,,,
43,2002,6,16,Burdwood,25,12.7,,4,4,0,,,,,,,,
44,2002,6,16,Wicklow,30,12.2,,26,26,0,,,,,,,,
45,2002,6,21,Glacier,22,14.6,,15,15,0,,,,,,,,
46,2002,6,22,Burdwood,23,14.4,,21,15,6,,,,,,,,
47,2002,6,23,Wicklow,27,14.1,,21,21,0,,,,,,,,
48,2003,3,2,Glacier,31,8.7,,3,3,0,,,,,,,,
49,2003,3,14,Burdwood,32,9,,20,1,19,,,,,,,,
50,2003,3,16,Wicklow,32,9,,1,0,1,,,,,,,,
51,2003,3,26,Burdwood,34,9.2,,21,3,18,,,,,,,,
52,2003,3,26,Glacier,32,9,,21,17,4,,,,,,,,
53,2003,3,30,Wicklow,28,9.1,,19,0,19,,,,,,,,
54,2003,4,6,Burdwood,29,9.3,,19,2,17,,,,,,,,
55,2003,4,6,Glacier,30,9.2,,20,8,12,,,,,,,,
56,2003,4,6,Wicklow,30,9.2,,11,2,9,,,,,,,,
57,2003,4,9,Burdwood,29,8.5,,21,2,19,,,,,,,,
58,2003,4,9,Wicklow,31,9,,20,6,14,,,,,,,,
