fish_id,site_id,year,day,month,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,comments
1,1,2001,12,6,Burdwood,,pink,50,,,2,,,,,0,,,,,,,,,,,,,,,,,,
2,1,2001,12,6,Burdwood,,pink,50,,,,,,,,0,,,,,,,3,,,,,,,,,,,
3,1,2001,12,6,Burdwood,,pink,50,,,2,2,,,,0,,,,,,,,,,,,,,,,,,
4,1,2001,12,6,Burdwood,,pink,53,,,1,,,,,0,,,,,,,1,,,,,,,,,,,
5,1,2001,12,6,Burdwood,,pink,54,,,3,2,,,,0,,,,,,,1,,,,,,,,,,,
6,1,2001,12,6,Burdwood,,pink,54,,,4,,,,,0,,,,,,,1,,,,,,,,,,,
7,1,2001,12,6,Burdwood,,pink,55,,,3,,,,,0,,,,,,,,,,,,,,,,,,
8,1,2001,12,6,Burdwood,,pink,55,,,5,,,,,0,,,,,,,,,,,,,,,,,,
9,1,2001,12,6,Burdwood,,pink,55,,,,,,,,0,,,,,,,,1,,,,,,,,,,
10,1,2001,12,6,Burdwood,,pink,55,,,5,2,,,,0,,,,,,,,,,,,,,,,,,
11,1,2001,12,6,Burdwood,,pink,55,,,5,,,,,0,,,,,,,1,,,,,,,,,,,
12,1,2001,12,6,Burdwood,,pink,55,,,5,2,,,,0,,,,,,,,,,,,,,,,,,
13,1,2001,12,6,Burdwood,,pink,55,,,3,,,,,0,,,,,,,,,,,,,,,,,,
14,1,2001,12,6,Burdwood,,pink,57,,,2,13,,,,0,,,,,,,1,2,,,,,,,,,,
15,1,2001,12,6,Burdwood,,pink,58,,,7,,,,,0,,,,,,,1,,,,,,,,,,,
16,1,2001,12,6,Burdwood,,pink,58,,,,,,,,0,,,,,,,,,,,,,,,,,,
17,1,2001,12,6,Burdwood,,pink,60,,,2,,,,,0,,,,,,,1,,,,,,,,,,,
