"site_id","year","month","day","location","salt","temp","salmon_captured","salmon_examined","pink_examined","chum_examined","sockeye_examined","morts_recovery","morts_other","P_ratio","C_ratio","latitude","longitude","bycatch","notes","coho_examined"
1,2001,6,12,"Burdwood",NA,NA,NA,18,18,0,0,NA,NA,NA,NA,"","","","",NA
2,2001,6,13,"Wicklow",NA,NA,NA,10,10,0,0,NA,NA,NA,NA,"","","","",NA
3,2001,6,16,"Glacier",NA,NA,NA,77,77,0,0,NA,NA,NA,NA,"","","","",NA
4,2001,6,23,"Burdwood",NA,NA,NA,11,11,0,0,NA,NA,NA,NA,"","","","",NA
5,2001,6,24,"Burdwood",NA,NA,NA,12,12,0,0,NA,NA,NA,NA,"","","","",NA
6,2001,6,25,"Burdwood",NA,NA,NA,5,5,0,0,NA,NA,NA,NA,"","","","",NA
7,2001,6,26,"Glacier",NA,NA,NA,8,8,0,0,NA,NA,NA,NA,"","","","",NA
8,2001,6,28,"Glacier",NA,11.94,NA,76,76,0,0,NA,NA,NA,NA,"","","","",NA
9,2001,6,29,"Burdwood",NA,13.28,NA,12,12,0,0,NA,NA,NA,NA,"","","","",NA
10,2001,6,30,"Burdwood",NA,13.28,NA,3,3,0,0,NA,NA,NA,NA,"","","","",NA
11,2001,7,13,"Burdwood",NA,NA,NA,2,2,0,0,NA,NA,NA,NA,"","","","",NA
12,2001,7,15,"Glacier",NA,11.94,NA,1,1,0,0,NA,NA,NA,NA,"","","","",NA
13,2001,7,16,"Burdwood",NA,NA,NA,1,1,0,0,NA,NA,NA,NA,"","","","",NA
14,2001,7,29,"Wicklow",NA,12.05,NA,23,23,0,0,NA,NA,NA,NA,"","","","",NA
15,2001,8,15,"Wicklow",NA,10.28,NA,7,7,0,0,NA,NA,NA,NA,"","","","",NA
16,2001,8,16,"Wicklow",NA,10.28,NA,2,2,0,0,NA,NA,NA,NA,"","","","",NA
17,2002,4,18,"Burdwood",30,9.8,NA,11,5,6,0,NA,NA,NA,NA,"","","","",NA
18,2002,4,18,"Glacier",31,9.8,NA,1,0,1,0,NA,NA,NA,NA,"","","","",NA
19,2002,4,18,"Wicklow",32,10,NA,5,5,0,0,NA,NA,NA,NA,"","","","",NA
20,2002,4,19,"Burdwood",30,9.8,NA,9,8,1,0,NA,NA,NA,NA,"","","","",NA
21,2002,4,19,"Glacier",31,8.7,NA,20,20,0,0,NA,NA,NA,NA,"","","","",NA
22,2002,4,19,"Wicklow",30,8.9,NA,13,12,1,0,NA,NA,NA,NA,"","","","",NA
23,2002,4,25,"Glacier",28,8.7,NA,20,16,4,0,NA,NA,NA,NA,"","","","",NA
24,2002,4,26,"Burdwood",27,9.4,NA,22,18,4,0,NA,NA,NA,NA,"","","","",NA
25,2002,4,26,"Wicklow",32,9.1,NA,21,20,1,0,NA,NA,NA,NA,"","","","",NA
26,2002,5,1,"Glacier",30,10.1,NA,21,19,2,0,NA,NA,NA,NA,"","","","",NA
27,2002,5,3,"Burdwood",25,11,NA,22,22,0,0,NA,NA,NA,NA,"","","","",NA
28,2002,5,3,"Wicklow",32,10.4,NA,19,19,0,0,NA,NA,NA,NA,"","","","",NA
29,2002,5,7,"Burdwood",35,10.7,NA,20,15,5,0,NA,NA,NA,NA,"","","","",NA
30,2002,5,7,"Glacier",32,10.1,NA,21,20,1,0,NA,NA,NA,NA,"","","","",NA
31,2002,5,9,"Wicklow",32,10.2,NA,23,14,9,0,NA,NA,NA,NA,"","","","",NA
32,2002,5,26,"Glacier",31,9.9,NA,20,18,2,0,NA,NA,NA,NA,"","","","",NA
33,2002,5,26,"Wicklow",31,10.2,NA,20,19,1,0,NA,NA,NA,NA,"","","","",NA
34,2002,6,1,"Burdwood",23,12.4,NA,21,20,1,0,NA,NA,NA,NA,"","","","",NA
35,2002,6,1,"Glacier",25,10.9,NA,21,21,0,0,NA,NA,NA,NA,"","","","",NA
36,2002,6,2,"Wicklow",31,9,NA,19,19,0,0,NA,NA,NA,NA,"","","","",NA
37,2002,6,7,"Wicklow",32,10.4,NA,23,19,4,0,NA,NA,NA,NA,"","","","",NA
38,2002,6,8,"Burdwood",26,10.8,NA,27,13,14,0,NA,NA,NA,NA,"","","","",NA
39,2002,6,8,"Glacier",26,10.8,NA,20,20,0,0,NA,NA,NA,NA,"","","","",NA
40,2002,6,9,"Wicklow",28,11.2,NA,22,20,2,0,NA,NA,NA,NA,"","","","",NA
41,2002,6,15,"Burdwood",25,12.7,NA,17,15,2,0,NA,NA,NA,NA,"","","","",NA
42,2002,6,15,"Glacier",26,12.4,NA,19,19,0,0,NA,NA,NA,NA,"","","","",NA
43,2002,6,16,"Burdwood",25,12.7,NA,4,4,0,0,NA,NA,NA,NA,"","","","",NA
44,2002,6,16,"Wicklow",30,12.2,NA,26,26,0,0,NA,NA,NA,NA,"","","","",NA
45,2002,6,21,"Glacier",22,14.6,NA,15,15,0,0,NA,NA,NA,NA,"","","","",NA
46,2002,6,22,"Burdwood",23,14.4,NA,21,15,6,0,NA,NA,NA,NA,"","","","",NA
47,2002,6,23,"Wicklow",27,14.1,NA,21,21,0,0,NA,NA,NA,NA,"","","","",NA
48,2003,3,2,"Glacier",31,8.7,NA,3,3,0,0,NA,NA,NA,NA,"","","","",NA
49,2003,3,14,"Burdwood",32,9,NA,20,1,19,0,NA,NA,NA,NA,"","","","",NA
50,2003,3,16,"Wicklow",32,9,NA,1,0,1,0,NA,NA,NA,NA,"","","","",NA
51,2003,3,26,"Burdwood",34,9.2,NA,21,3,18,0,NA,NA,NA,NA,"","","","",NA
52,2003,3,26,"Glacier",32,9,NA,21,17,4,0,NA,NA,NA,NA,"","","","",NA
53,2003,3,30,"Wicklow",28,9.1,NA,19,0,19,0,NA,NA,NA,NA,"","","","",NA
54,2003,4,6,"Burdwood",29,9.3,NA,19,2,17,0,NA,NA,NA,NA,"","","","",NA
55,2003,4,6,"Glacier",30,9.2,NA,20,8,12,0,NA,NA,NA,NA,"","","","",NA
56,2003,4,6,"Wicklow",30,9.2,NA,11,2,9,0,NA,NA,NA,NA,"","","","",NA
57,2003,4,9,"Burdwood",29,8.5,NA,21,2,19,0,NA,NA,NA,NA,"","","","",NA
58,2003,4,9,"Wicklow",31,9,NA,20,6,14,0,NA,NA,NA,NA,"","","","",NA
59,2003,4,12,"Glacier",30,9.2,NA,18,13,5,0,NA,NA,NA,NA,"","","","",NA
60,2003,4,16,"Burdwood",25,9.2,NA,22,3,19,0,NA,NA,NA,NA,"","","","",NA
61,2003,4,16,"Glacier",25,9.2,NA,20,19,1,0,NA,NA,NA,NA,"","","","",NA
62,2003,4,17,"Wicklow",32,9.3,NA,20,9,11,0,NA,NA,NA,NA,"","","","",NA
63,2003,4,21,"Burdwood",30,9.6,NA,19,6,13,0,NA,NA,NA,NA,"","","","",NA
64,2003,4,21,"Glacier",30,9.2,NA,20,18,2,0,NA,NA,NA,NA,"","","","",NA
65,2003,4,24,"Wicklow",31,9.3,NA,20,10,10,0,NA,NA,NA,NA,"","","","",NA
66,2003,4,28,"Wicklow",30,10.7,NA,20,14,6,0,NA,NA,NA,NA,"","","","",NA
67,2003,4,30,"Burdwood",28,11.1,NA,20,13,7,0,NA,NA,NA,NA,"","","","",NA
68,2003,4,30,"Glacier",30,10.6,NA,20,19,1,0,NA,NA,NA,NA,"","","","",NA
69,2003,5,5,"Burdwood",26,10.7,NA,18,18,0,0,NA,NA,NA,NA,"","","","",NA
70,2003,5,7,"Glacier",25,11.2,NA,19,14,5,0,NA,NA,NA,NA,"","","","",NA
