Column number,Type,Variable,dataClass,Minimum value,Maximum value,Allowable values,Number of blanks,Description
1,unqiue ID,fish_id,integer,1,31200,1 to infinity,0,Unique identifier for the individual fish
2,unqiue ID,site_id,integer,1,492,1 to infinity,0,"Unique identifier for the site (i.e., sampling data/sampling location combination)"
3,site info,year,integer,2001,2015,2001-infinity,0,Year the fish was collected
4,site info,day,integer,1,31,1 to 31,0,Day of the month that the fish was collected
5,site info,month,integer,2,8,1 to 12,0,Month of the year that the fish was collected
6,site info,location,factor,,,"Burdwood, Glacier, Wicklow",0,Location that the fish was collected
7,fish info,fish_num,integer,1,126,1 to infinity,12933,Fish number corresponding to the raw data sheet
8,fish info,species,factor,,,"chum, pink, sockeye",2,Host fish species
9,fish info,length,numeric,23,182,20 to 200,18,Fork length (mm) from the fork in the tail to the tip of the snout (Fig. 5a)
10,fish info,height,numeric,3,27,3 to 50,10223,"Body depth (mm) at the widest part (Fig. 5a). No body depth data were available for years 2001, 2002, 2005, 2007, 2008, and 2009."
11,lice,Lep_cope,integer,1,14,0 (blank) to infinity,28751,Copepodid-stage L. salmonis
12,lice,chalA,integer,1,56,0 (blank) to infinity,24001,Chalimus A stageL. salmonis or C. clemensi
13,lice,chalB,integer,1,34,0 (blank) to infinity,27722,Chalimus B stageL. salmonis or C. clemensi
14,lice,Lep_PAmale,integer,1,11,0 (blank) to infinity,30068,Pre-adult male L. salmonis
15,lice,Lep_PAfemale,integer,1,7,0 (blank) to infinity,30459,Pre-adult female L. salmonis
16,lice,Lep_male,integer,1,13,0 (blank) to infinity,30158,Adult male L. salmonis
17,lice,Lep_nongravid,integer,1,6,0 (blank) to infinity,30688,"Adult female L. salmonis, has mated but no egg strings"
18,lice,Lep_gravid,integer,1,4,0 (blank) to infinity,30739,Adult female L. salmonis with egg strings
19,lice,Caligus_cope,integer,1,6,0 (blank) to infinity,29774,Copepodid-stage C. clemensi
20,lice,Caligus_mot,integer,1,14,0 (blank) to infinity,29960,Motile male or non-gravid female C. clemensi
21,lice,Caligus_gravid,integer,1,3,0 (blank) to infinity,30430,"Gravid female C. clemensi, with egg strings"
22,lice,unid_cope,integer,1,25,0 (blank) to infinity,30074,"Copepodid-stage lice, unidentified species"
23,lice,chal_unid,integer,1,25,0 (blank) to infinity,31111,"Chalimus stage lice, unidentified stage (A or B) and unidentified species"
24,lice,unid_PA,integer,1,19,0 (blank) to infinity,29796,"Pre-adult lice, unidentified species"
25,lice,unid_adult,integer,1,12,0 (blank) to infinity,31042,"Adult lice, unidentified species"
26,fish health,chal_scar,integer,1,12,0 (blank) to infinity,28027,Number of scars from chalimus stage lice
27,fish health,pred_scar,integer,1,1,0 (blank)/1,30325,Presence/absence of predation scars (noted as fish or bird in comments)
28,fish health,mot_scar,integer,1,1,0 (blank)/1,30418,Presence/absence of motile scars
29,fish health,hem,integer,1,1,0 (blank)/1,29104,Presence/absence of hemorrhaging (location of hemorrhaging noted in comments)
30,fish health,mateguarding,integer,1,1,0 (blank)/1,31137,Presence/absence of mateguarding sea lice
31,fish health,eroded_gill,integer,1,2,0 (blank)/1/2,30329,"Presence/absence of eroded gill (1=one side, 2=both sides)"
32,fish health,blue_blotches,integer,1,1,0 (blank)/1,25163,Presence/absence of blue blotches on host fish
33,fish health,pinched_belly,integer,1,1,0 (blank)/1,30917,"Presence/absence of pinched skin on the underside of the fish, usually associated with a chalimus scar"
34,fish health,scales,integer,1,1,0 (blank)/1,24915,Presence/absence of scales on the host fish
35,fish health,comments,character,NA,NA,NA,NA,"Comments on fish health, location of hemorrhaging, type of predation scar, etc. Common locations on the fish that we refer to include the adipose fin (ADF), anal fin (ANF), caudal fin (CDF), pectoral fins (PCF), pelvic fins (PVF), dorsal fin (DF), snout, flank, caudal peducle, gill plate, and eye."
